schema_version,experiment,seed,source,target,condition_type,compromise_fraction,compromised_node_count,total_node_count,edge_count,route_count,fractal_id,pre_reset_epochs,pre_alarm_path_count,post_candidate_count,policy,path_count,post_reset_path_distance_from_pre_alarm,continuity_retention_vs_lemonade,state_break_distance,state_continuity_score,lane_collapse_rate,path_overlap,unique_path_ratio,clean_path_ratio,path_compromise_rate,mean_compromised_nodes_per_path,mean_node_score_risk_per_path,mean_raw_node_score_per_path,healthy_node_ratio,mean_degradation_risk_per_path,delta,success_continuity_retention,success_node_score_risk_reduced,success_degradation_risk_reduced,success_candidate
1.2.0,local-degradation-aware-lemonade-reselection,pilot-004,n18,n34,random,0.2,20,100,248,3,36,5,1,1,lemonade_reset,1,0.0,0.0,0.4921875,0.5078125,0.0,0.0,1.0,0.0,1.0,1.0,0.375,2.5,0.0,0.5204781631783065,,True,False,False,False
1.2.0,local-degradation-aware-lemonade-reselection,pilot-004,n18,n34,random,0.2,20,100,248,3,36,5,1,1,node_score_aware_delta_0.90,1,0.0,0.0,0.48046875,0.51953125,0.0,0.0,1.0,0.0,1.0,1.0,0.375,2.5,0.0,0.5204781631783065,0.9,False,False,False,False
1.2.0,local-degradation-aware-lemonade-reselection,pilot-004,n18,n34,random,0.2,20,100,248,3,36,5,1,1,degradation_aware_delta_0.90,1,0.0,0.0,0.55078125,0.44921875,0.0,0.0,1.0,0.0,1.0,1.0,0.375,2.5,0.0,0.5204781631783065,0.9,False,False,False,False
1.2.0,local-degradation-aware-lemonade-reselection,pilot-004,n18,n34,random,0.2,20,100,248,3,36,5,1,1,degradation_aware_delta_0.85,1,0.0,0.0,0.51953125,0.48046875,0.0,0.0,1.0,0.0,1.0,1.0,0.375,2.5,0.0,0.5204781631783065,0.85,False,False,False,False
1.2.0,local-degradation-aware-lemonade-reselection,pilot-004,n18,n34,random,0.2,20,100,248,3,36,5,1,1,degradation_aware_delta_0.80,1,0.0,0.0,0.46484375,0.53515625,0.0,0.0,1.0,0.0,1.0,1.0,0.375,2.5,0.0,0.5204781631783065,0.8,False,False,False,False
1.2.0,local-degradation-aware-lemonade-reselection,pilot-004,n18,n34,targeted,0.2,20,100,248,3,36,5,1,1,lemonade_reset,1,0.0,0.0,0.4921875,0.5078125,0.0,0.0,1.0,0.0,1.0,2.0,0.375,2.5,0.0,0.5204781631783065,,True,False,False,False
1.2.0,local-degradation-aware-lemonade-reselection,pilot-004,n18,n34,targeted,0.2,20,100,248,3,36,5,1,1,node_score_aware_delta_0.90,1,0.0,0.0,0.48046875,0.51953125,0.0,0.0,1.0,0.0,1.0,2.0,0.375,2.5,0.0,0.5204781631783065,0.9,False,False,False,False
1.2.0,local-degradation-aware-lemonade-reselection,pilot-004,n18,n34,targeted,0.2,20,100,248,3,36,5,1,1,degradation_aware_delta_0.90,1,0.0,0.0,0.55078125,0.44921875,0.0,0.0,1.0,0.0,1.0,2.0,0.375,2.5,0.0,0.5204781631783065,0.9,False,False,False,False
1.2.0,local-degradation-aware-lemonade-reselection,pilot-004,n18,n34,targeted,0.2,20,100,248,3,36,5,1,1,degradation_aware_delta_0.85,1,0.0,0.0,0.51953125,0.48046875,0.0,0.0,1.0,0.0,1.0,2.0,0.375,2.5,0.0,0.5204781631783065,0.85,False,False,False,False
1.2.0,local-degradation-aware-lemonade-reselection,pilot-004,n18,n34,targeted,0.2,20,100,248,3,36,5,1,1,degradation_aware_delta_0.80,1,0.0,0.0,0.46484375,0.53515625,0.0,0.0,1.0,0.0,1.0,2.0,0.375,2.5,0.0,0.5204781631783065,0.8,False,False,False,False
